param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_315_pop_0,6212.38,1.000
q_ind_316_pop_0,2358.43,1.000
q_ind_317_pop_0,3759.08,1.001
q_ind_318_pop_0,2291.22,1.000
q_ind_319_pop_0,5555.02,1.000
q_ind_320_pop_0,1630.18,1.001
q_ind_321_pop_0,2665.24,1.000
q_ind_322_pop_0,2820.07,1.000
q_ind_323_pop_0,4046.87,1.000
q_ind_324_pop_0,6518.98,1.000
q_ind_325_pop_0,6081.92,1.000
q_ind_326_pop_0,5318.16,1.001
q_ind_327_pop_0,5049.25,1.000
q_ind_328_pop_0,2339.71,1.000
q_ind_329_pop_0,1383.65,1.001
q_ind_330_pop_0,841.24,1.002
q_ind_331_pop_0,219.68,1.003
q_ind_332_pop_0,92.59,1.008
q_ind_333_pop_0,595.79,1.002
q_ind_334_pop_0,2686.87,1.000
q_ind_335_pop_0,50.20,1.013
q_ind_336_pop_0,3134.14,1.001
q_ind_337_pop_0,3336.66,1.000
q_ind_338_pop_0,3672.58,1.000
q_ind_339_pop_0,302.17,1.002
q_ind_340_pop_0,339.75,1.002
q_ind_341_pop_0,183.29,1.000
q_ind_342_pop_0,298.84,1.001
q_ind_343_pop_0,226.11,1.001
q_ind_344_pop_0,1999.08,1.001
q_ind_345_pop_0,902.83,1.000
q_ind_346_pop_0,1170.19,1.002
q_ind_347_pop_0,420.59,1.001
q_ind_348_pop_0,2624.49,1.000
q_ind_349_pop_0,97.59,1.017
q_ind_350_pop_0,4465.82,1.000
q_ind_351_pop_0,1846.76,1.000
q_ind_352_pop_0,335.04,1.001
q_ind_353_pop_0,5045.84,1.001
q_ind_354_pop_0,3499.34,1.000
q_ind_355_pop_0,1370.43,1.003
q_ind_356_pop_0,94.12,1.013
q_ind_357_pop_0,4939.72,1.000
q_ind_358_pop_0,6510.00,1.000
q_ind_359_pop_0,1373.79,1.001
q_ind_360_pop_0,7665.51,1.000
q_ind_361_pop_0,7272.44,1.000
q_ind_362_pop_0,2474.60,1.001
q_ind_363_pop_0,4985.82,1.000
q_ind_364_pop_0,4606.09,1.001
q_ind_365_pop_0,4680.13,1.000
q_ind_366_pop_0,1422.41,1.001
q_ind_367_pop_0,6064.73,1.000
q_ind_368_pop_0,8822.63,1.000
q_ind_369_pop_0,6828.54,1.001
q_ind_370_pop_0,1032.52,1.003
q_ind_371_pop_0,1235.31,1.000
q_ind_372_pop_0,4173.21,1.000
q_ind_373_pop_0,831.95,1.005
q_ind_374_pop_0,2406.46,1.000
q_ind_375_pop_0,1462.59,1.002
q_ind_376_pop_0,409.53,1.018
q_ind_377_pop_0,1136.36,1.000
q_ind_378_pop_0,2723.42,1.000
q_ind_379_pop_0,287.58,1.001
q_ind_380_pop_0,6323.06,1.000
q_ind_381_pop_0,2198.68,1.000
q_ind_382_pop_0,1152.63,1.000
q_ind_383_pop_0,3829.34,1.000
q_ind_384_pop_0,1112.86,1.001
q_ind_385_pop_0,2795.92,1.000
q_ind_386_pop_0,4387.89,1.000
q_ind_387_pop_0,1292.13,1.042
q_ind_388_pop_0,6386.33,1.000
q_ind_389_pop_0,2439.91,1.001
q_ind_390_pop_0,3719.93,1.000
q_ind_391_pop_0,1385.75,1.001
q_ind_392_pop_0,6399.75,1.000
q_ind_393_pop_0,850.74,1.004
q_ind_394_pop_0,1577.39,1.003
q_ind_395_pop_0,4451.38,1.000
q_ind_396_pop_0,3921.74,1.000
q_ind_397_pop_0,2286.74,1.002
q_ind_398_pop_0,3952.58,1.000
q_ind_399_pop_0,3545.25,1.000
q_ind_400_pop_0,4144.90,1.000
q_ind_401_pop_0,5062.30,1.001
q_ind_402_pop_0,4470.63,1.000
q_ind_403_pop_0,4113.57,1.001
q_ind_404_pop_0,1722.45,1.001
q_ind_405_pop_0,2307.61,1.000
q_ind_406_pop_0,633.43,1.015
q_ind_407_pop_0,2591.50,1.000
q_ind_408_pop_0,4557.52,1.000
q_ind_409_pop_0,4132.01,1.000
q_ind_410_pop_0,2836.04,1.002
q_ind_411_pop_0,3705.73,1.000
q_ind_412_pop_0,2100.96,1.000
q_ind_413_pop_0,813.81,1.001
q_ind_414_pop_0,651.77,1.000
q_ind_415_pop_0,1929.66,1.002
q_ind_416_pop_0,4864.44,1.001
q_ind_417_pop_0,5046.56,1.000
q_ind_418_pop_0,2788.76,1.000
q_ind_419_pop_0,5925.36,1.000
q_ind_420_pop_0,4744.89,1.000
q_ind_421_pop_0,1164.97,1.001
q_ind_422_pop_0,5815.03,1.000
q_ind_423_pop_0,4807.28,1.002
q_ind_424_pop_0,3953.50,1.000
q_ind_425_pop_0,6741.98,1.000
q_ind_426_pop_0,5149.07,1.000
q_ind_427_pop_0,5838.92,1.000
q_ind_428_pop_0,373.67,1.007
q_ind_429_pop_0,590.17,1.000
q_ind_430_pop_0,370.79,1.003
q_ind_431_pop_0,7312.09,1.001
q_ind_432_pop_0,5553.19,1.000
q_ind_433_pop_0,336.26,1.003
q_ind_434_pop_0,4096.02,1.001
q_ind_435_pop_0,5687.74,1.000
q_ind_436_pop_0,4317.12,1.000
q_ind_437_pop_0,6689.64,1.000
q_ind_438_pop_0,6760.43,1.000
q_ind_439_pop_0,353.83,1.006
q_ind_440_pop_0,4283.47,1.000
q_ind_441_pop_0,3185.96,1.000
q_ind_442_pop_0,378.80,1.005
q_ind_443_pop_0,1154.98,1.000
q_ind_444_pop_0,1528.96,1.001
q_ind_445_pop_0,621.81,1.004
q_ind_446_pop_0,1109.24,1.001
q_ind_447_pop_0,407.68,1.000
q_ind_448_pop_0,2231.12,1.001
q_ind_449_pop_0,1937.30,1.000
q_ind_450_pop_0,887.24,1.002
q_ind_451_pop_0,1476.15,1.000
q_ind_452_pop_0,115.64,1.019
q_ind_453_pop_0,26.13,1.012
q_ind_454_pop_0,322.65,1.006
q_ind_455_pop_0,68.08,1.003
q_ind_456_pop_0,97.25,1.038
q_ind_457_pop_0,27.63,1.031
q_ind_458_pop_0,250.13,1.001
q_ind_459_pop_0,224.55,1.010
q_ind_460_pop_0,1005.73,1.001
q_ind_461_pop_0,8557.67,1.000
q_ind_462_pop_0,4372.14,1.000
q_ind_463_pop_0,5023.39,1.000
q_ind_464_pop_0,211.01,1.002
q_ind_465_pop_0,3313.38,1.001
q_ind_466_pop_0,502.03,1.005
q_ind_467_pop_0,4479.78,1.001
q_ind_468_pop_0,307.59,1.004
q_ind_469_pop_0,1266.97,1.001
q_ind_470_pop_0,6165.03,1.000
q_ind_471_pop_0,8251.76,1.000
q_ind_472_pop_0,4804.62,1.000
q_ind_473_pop_0,506.78,1.004
q_ind_474_pop_0,7511.95,1.000
q_ind_475_pop_0,4211.95,1.000
q_ind_476_pop_0,1150.14,1.004
q_ind_477_pop_0,3948.62,1.001
q_ind_478_pop_0,2114.26,1.003
q_ind_479_pop_0,178.08,1.008
q_ind_480_pop_0,288.49,1.003
q_ind_481_pop_0,81.38,1.009
q_ind_482_pop_0,6837.48,1.000
